id,airline_name
1,AERONOVA, S.L.U 
2,AIR EUROPA LINEAS AEREAS, S.A.U.
3,AIR EUROPA LINEAS AEREAS EXPRESS, S.A.U.
4,AIR NOSTRUM, LINEAS AEREAS DEL MEDITERRANEO, S.A.
5,ALBASTAR, S.A.
6,AURA AIRLINES, S.L.
7,BINTER CANARIAS, S.A.
8,CANARIAS AIRLINES COMPAÑÍA DE AVIACION, S.L.
9,CANARY FLY, S.L.
10,COMPAÑÍA OPERADORA DE CORTO Y MEDIO RADIO IBERIA EXPRESS, S.A.U.
11,CORPORCION YGNUS AIR, S.A.
12,EVELOP AIRLINES, S.L.
13,FLIGHTLINE, S.L.
14,IBERIA LINEAS AEREAS DE ESPAÑA S.A. OPERADORA
15,PLUS ULTRA LINEAS AEREAS, S.A
16,PRIVILEGE STYLE, S.A.
17,SWIFTAIR, S.A.
18,THOMAS COOK AIRLINES BALEARICS, S.L.U.
19,VOLOTEA, S.L.
20,VUELING AIRLINES, S.A.
21,WAMOS AIR, S.A.
